[2024-11-06 21:39:07] [INFO    ] discord.client: logging in using static token
[2024-11-06 21:39:08] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2024-11-06 21:39:08] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2024-11-06 21:39:08] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1252996765557194822', 'username': 'sky', 'avatar': 'c17e5c6d99e029cf81f86037d29e38c9', 'discriminator': '0164', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'c17e5c6d99e029cf81f86037d29e38c9', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'clan': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2024-11-06 21:39:08] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2024-11-06 21:39:08] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2024-11-06 21:39:08] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1252996765557194822', 'name': 'sky', 'icon': None, 'description': '', 'type': None, 'cover_image': 'd6610fe374fc0bf6fb6e243a05e05bfc', 'bot': {'id': '1252996765557194822', 'username': 'sky', 'avatar': 'c17e5c6d99e029cf81f86037d29e38c9', 'discriminator': '0164', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'c17e5c6d99e029cf81f86037d29e38c9', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'clan': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'guild_id': '1252996022020345877', 'bot_public': True, 'bot_require_code_grant': False, 'integration_types_config': {'0': {}}, 'verify_key': '6f23147475a8e979aa3633eb9266f3d73d35df0e4082c17bee7269efd0aa0ac9', 'flags': 8953856, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1269019797744779366', 'username': 'team1269019797744779366', 'avatar': None, 'discriminator': '0000', 'public_flags': 1024, 'flags': 1024, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'clan': None}, 'approximate_guild_count': 2, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 3008, 'monetization_state': 1, 'verification_eligibility_flags': 123678, 'monetization_eligibility_flags': 247526, 'team': {'id': '1269019797744779366', 'icon': None, 'name': 'project_bot', 'owner_user_id': '978320542195138660', 'members': [{'user': {'id': '978320542195138660', 'username': 'locxisz', 'avatar': 'feaf81cb9f375da790cf41c8c37ed527', 'discriminator': '0', 'public_flags': 4194304, 'flags': 4194304, 'banner': None, 'accent_color': None, 'global_name': 'ₗₒcₓᵢₛz', 'avatar_decoration_data': None, 'banner_color': None, 'clan': None}, 'team_id': '1269019797744779366', 'membership_state': 2, 'role': 'admin', 'permissions': ['*']}]}, 'internal_guild_restriction': 2}
[2024-11-06 21:39:08] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2024-11-06 21:39:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-c-vg0k",{"micros":0.0}]']}}
[2024-11-06 21:39:08] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2024-11-06 21:39:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
